id,language,message,latency,results
664,en,hi there please open WhatsApp,2.143961,TRUE
665,en,Select second chat,0.462359,TRUE
666,en,search user you,0.802769,TRUE
667,en,select first chat,0.486671,TRUE
668,en,how are you today from automation,0.000036,FALSE
669,en,stop auto music,0.000030,FALSE
670,en,stop automation,0.000039,TRUE
671,en,hi there please open WhatsApp,2.151811,TRUE
672,en,Select second chat,0.459575,TRUE
673,en,search user you,0.802764,TRUE
674,en,select first chat,0.462119,TRUE
675,en,enter high from automation,0.682247,TRUE
676,en,clear message,0.255652,TRUE
677,en,enter good morning automation,0.745365,TRUE
678,en,send message,0.253602,TRUE
679,en,thank you stop automation,0.000062,TRUE
680,en,what time is it,0.000812,TRUE
681,en,thank you for the information could you please open Notepad,0.180189,TRUE
682,zh,你好今天是什么日期,0.000264,TRUE
683,en,what time is it,0.000083,TRUE
684,en,thank you for the information please open Notepad,0.092400,TRUE
685,zh,你好今天的日期是什么,0.000114,TRUE
686,en,good morning please open YouTube for me,9.025152,TRUE
687,en,search Justin Bieber basis,3.589277,TRUE
688,en,stop automation,0.125332,TRUE
689,en,what time is it,0.000069,TRUE
690,en,what time is it,0.000056,TRUE
691,en,thanks for your information now open Notepad,0.086574,TRUE
692,zh,Hello你好今天是什么日期,0.000146,TRUE
693,en,hello please open YouTube,3.034193,TRUE
694,en,search Justin Bieber,3.638756,TRUE
695,en,select first,0.001108,FALSE
696,en,functions either in conversation or system action,0.000084,FALSE
697,en,stop automation,0.055428,TRUE
698,en,hello open YouTube,3.043810,TRUE
699,en,search Justin Bieber,3.642913,TRUE
700,en,alright play first,1.708150,TRUE
701,en,it's too loud decrease volume,0.502921,TRUE
702,en,pause video,0.090218,TRUE
703,en,stop automation,0.200005,TRUE
704,en,what time is it,0.000067,TRUE
705,en,thanks for the information now please open Notepad,0.075383,TRUE
706,zh,你好能告诉我现在是什么日期吗,0.000128,TRUE
707,en,hi there please open YouTube,3.079108,TRUE
708,en,search for Justin Bieber,3.618518,TRUE
709,en,play first,1.700163,TRUE
710,en,the volume is too loud decrease volume,0.560364,TRUE
711,en,increase volume,0.502981,TRUE
712,en,help me to pause video,0.022335,TRUE
713,en,stop automation,0.063135,TRUE
714,en,what time is it,0.000083,TRUE
715,en,please open Notepad,0.075863,TRUE
716,zh,Hello你好请问今天是什么日期,0.000110,TRUE
717,en,hi please open YouTube,2.905336,TRUE
718,en,search Justin Bieber,3.671349,TRUE
719,en,thank you play first,1.745685,TRUE
720,en,the volume is too loud decrease volume,0.502462,TRUE
721,en,thank you pause video,0.010888,TRUE
722,en,resume video,0.010700,TRUE
723,en,stop video,0.000100,FALSE
724,en,pause video,0.010032,TRUE
725,en,stop automation,0.149085,TRUE
726,en,hi please open WhatsApp,2.247347,TRUE
727,en,select first chat,0.457148,TRUE
728,en,search user you,0.803660,TRUE
729,en,select first chat,0.459537,TRUE
730,en,enter hello from automation,0.725888,TRUE
731,en,clear message,0.254647,TRUE
732,en,enter I am myself,0.519069,TRUE
733,en,send message,0.253942,TRUE
734,en,stop automation,0.000039,TRUE
735,en,what time is it,0.000074,TRUE
736,en,thanks for information now open Notepad,0.092154,TRUE
737,zh,Hello你好请问今天是什么日期,0.000119,TRUE
738,en,hi there please open YouTube,3.488686,TRUE
739,en,search Justin Bieber,3.624752,TRUE
740,en,ok play first,1.799641,TRUE
741,en,the volume is too loud increase volume,0.504274,TRUE
742,en,decrease volume,0.535488,TRUE
743,en,pause video,0.017824,TRUE
744,en,stop automation,0.065484,TRUE
745,en,what time is it,0.000081,TRUE
746,en,thank you for your information open Notepad,0.073501,TRUE
747,zh,你好请问今天是什么日期,0.000145,TRUE
748,en,hi please open YouTube,2.822214,TRUE
749,en,search Justin Bieber,3.667528,TRUE
750,en,search Justin Bieber daisies,3.564525,TRUE
751,en,ok play first,1.724569,TRUE
752,en,the volume is too loud decrease volume,0.632308,TRUE
753,en,increase volume,0.521699,TRUE
754,en,pause video,0.011540,TRUE
755,en,resume video,0.011101,TRUE
756,en,pause video,0.015865,TRUE
757,en,alright stop automation,0.079997,TRUE
758,zh,请打开谷歌地图,3.372098,TRUE
759,zh,search 马六甲,0.849186,TRUE
760,zh,search 喜马拉雅,0.368482,TRUE
761,zh,stop automation,0.077654,TRUE
762,en,hello good evening please open WhatsApp,2.165936,TRUE
763,en,select first chat,0.463384,TRUE
764,en,search user you,0.803343,TRUE
765,en,select first chat,0.457129,TRUE
766,en,enter How are you from automation,0.829037,TRUE
767,en,clear message,0.255052,TRUE
768,en,enter this is automation again,0.765125,TRUE
769,en,send message,0.254578,TRUE
770,en,stop automation,0.000037,TRUE
771,en,thank you for your time,0.002389,FALSE
772,en,thank you for your time,0.005168,FALSE
773,en,thank you for your time have a nice day,0.000174,FALSE
774,en,thank you Friday for your help,0.000139,FALSE
775,en,please open WhatsApp,2.314897,TRUE
776,en,Select second chat,0.462092,TRUE
777,en,search user you,0.806500,TRUE
778,en,Select second chat,0.456008,TRUE
779,en,stop automation,0.000061,TRUE
780,en,what time is it,0.000824,TRUE
781,en,fantastic now open Notepad for me,0.198949,TRUE
782,zh,Hi你好能告诉我今天是什么日期吗,0.000232,TRUE
783,en,what time is it,0.001057,TRUE
784,en,please open Notepad for me,0.189728,TRUE
785,zh,Hi你好请问今天的日期是什么,0.000269,TRUE
786,en,hey please open YouTube,5.292185,TRUE
787,en,alright search Justin Bieber,0.003185,FALSE
788,en,search Justin Bieber,3.626537,TRUE
789,en,could you play me the first one,1.745062,TRUE
790,en,pause video,0.118704,TRUE
791,en,stop automation,0.102101,TRUE
792,en,what time is it,0.000074,TRUE
793,en,open Notepad for me,0.106943,TRUE
794,zh,你好今天的日期是什么,0.000239,TRUE
795,zh,好的谢谢你那一家三等,0.000835,FALSE
796,zh,Hello I would like to open YouTube,3.072371,TRUE
797,zh,pieces yellow,0.000142,FALSE
798,zh,stop automation,0.089340,TRUE
799,en,hello please open YouTube,2.345580,TRUE
800,en,thank you please search Yellow,0.000071,FALSE
801,en,search Yellow,3.549223,TRUE
802,en,play the first one,1.689694,TRUE
803,en,pause video,0.011606,TRUE
804,en,resume video,0.008919,TRUE
805,en,increase volume,0.426986,TRUE
806,en,increase the volume,0.000058,FALSE
807,en,decrease volume,0.400275,TRUE
808,en,stop pause video,0.010771,TRUE
809,en,stop automation,0.085050,TRUE
810,en,what time is it,0.000068,TRUE
811,en,open Notepad,0.100258,TRUE
812,en,hello please open YouTube,2.722149,TRUE
813,en,search Yellow,3.610730,TRUE
814,en,ok play the first one,1.667856,TRUE
815,en,could you increase the volume,0.000079,FALSE
816,en,increase the volume,0.000064,FALSE
817,en,could you increase volume,0.457140,TRUE
818,en,pause video,0.010964,TRUE
819,en,pause video,0.008296,TRUE
820,en,thank you stop automation,0.073107,TRUE
821,en,hello please open WhatsApp,2.224373,TRUE
822,en,thank you select first chat,0.000039,FALSE
823,en,select first chat,0.468354,TRUE
824,en,search user PG,0.770526,TRUE
825,en,select first chat,0.457399,TRUE
826,en,hi how are you today,0.000044,FALSE
827,en,do you want to play badminton today,0.000050,FALSE
828,en,enter do you want to play badminton today,1.037985,TRUE
829,en,clear message,0.257793,TRUE
830,en,stop automation,0.000054,TRUE
831,en,thank you for information now open Notepad,0.103535,TRUE
832,en,hi please open YouTube,2.582248,TRUE
833,en,search Yellow,3.594237,TRUE
834,en,ok play the first video,1.693368,TRUE
835,en,thanks increase volume,0.403816,TRUE
836,en,resume video,0.007799,TRUE
837,en,pause video,0.007303,TRUE
838,en,thank you stop automation,0.048354,TRUE
839,en,hi please open WhatsApp,2.161601,TRUE
840,en,select first chat,0.456317,TRUE
841,en,thank you stop automation,0.000048,TRUE
842,en,open Notepad for me,0.110232,TRUE
843,en,good morning please open YouTube,2.927943,TRUE
844,en,search Yellow,3.627561,TRUE
845,en,ok play the first video,1.670826,TRUE
846,en,thanks increase volume,0.536132,TRUE
847,en,pause video,0.009960,TRUE
848,en,pause video,0.010370,TRUE
849,en,stop automation,0.113277,TRUE
850,en,hi please open WhatsApp,2.151165,TRUE
851,en,Select second chat,0.458749,TRUE
852,en,enter location,0.435858,TRUE
853,en,clear message,0.256541,TRUE
854,en,enter no problem,0.465621,TRUE
855,en,stop automation,0.000046,TRUE
856,en,thank you for your information open Notepad,0.188516,TRUE
857,en,hello please open YouTube,3.721974,TRUE
858,en,search Yellow,3.639180,TRUE
859,en,ok play first,14.123960,TRUE
860,en,pause video,0.084845,TRUE
861,en,pause video,0.008803,TRUE
862,en,stop automation,0.126840,TRUE
863,en,hi please open WhatsApp,2.229081,TRUE
864,en,select first check,0.000044,FALSE
865,en,select first chat,0.458148,TRUE
866,en,select third chat,0.455835,TRUE
867,en,search user you,0.801339,TRUE
868,en,select first chat,0.461587,TRUE
869,en,hi how are you today,0.000062,FALSE
870,en,enter how are you today,0.612600,TRUE
871,en,stop automation,0.000055,TRUE
872,en,hello could you open YouTube,2.503827,TRUE
873,en,search Yellow,3.627200,TRUE
874,en,ok could you play first,1.672704,TRUE
875,en,stop automation,0.043687,TRUE
876,en,thank you for information please open Notepad,0.333562,TRUE
877,en,hi there please open YouTube,4.192290,TRUE
878,en,search Yellow,3.633130,TRUE
879,en,ok play first,1.669309,TRUE
880,en,could you increase volume,0.490665,TRUE
881,en,pause video,0.084621,TRUE
882,en,stop automation,0.078783,TRUE
883,en,hi please open WhatsApp,2.227715,TRUE
884,en,Select second chat,0.459585,TRUE
885,en,enter do you want to play badminton this is my,1.133110,TRUE
886,en,send message,0.254198,TRUE
887,en,thank you stop automation,0.000067,TRUE
888,en,hi good morning open WhatsApp,2.260931,TRUE
889,en,select first chat,0.461283,TRUE
890,en,stop automation,0.000043,TRUE
